age,education,black,hispanic,married,nodegree,re74,re75,t,y,y0,y1,ite
37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,420.30905,420.30905
22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9696.594,572.20557,9696.594,9124.389
27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8765.459,8765.459
33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,20790.79,0.0,20790.79,20790.79
22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8083.6606,8083.6606,16649.744,8566.084
23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9252.774,0.0,9252.774,9252.774
32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1659.6339,1659.6339,10013.079,8353.445
22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16979.932,16979.932,10074.558,-6905.374
19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17463.965,17463.965
21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724.9565,1724.9565
18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6996.4976,0.0,6996.4976,6996.4976
17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12908.313,12908.313,3699.7253,-9208.588
19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4005.1868,4005.1868,12654.377,8649.19
27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12862.411,12862.411
23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6828.415,8175.335,6828.415,-1346.9199
40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7926.4546,0.0,7926.4546,7926.4546
23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14289.347,14289.347
41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6621.013,6621.013
38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16756.248,0.0,-16756.248
24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18910.666,18910.666
29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9326.647,9326.647
25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1085.9569,1085.9569
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12439.254,12439.254,11325.425,-1113.8291
24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6257.9995,1432.1256,6257.9995,4825.874
48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,16757.795,16757.795,0.0,-16757.795
20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7170.482,7170.482,16966.463,9795.98
25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16875.371,16875.371
42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9014.554,9014.554,4773.5303,-4241.0234
23.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8763.81,8763.81
46.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,14703.6455,9016.02,14703.6455,5687.626
24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7601.4336,4653.2446,7601.4336,2948.189
21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5913.9834,68260.57,5913.9834,-62346.586
19.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5876.9824,5876.9824,3517.9895,-2358.993
18.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,8073.3833,10370.538,8073.3833,-2297.1548
20.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4160.761,273.15283,4160.761,3887.6084
25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
